Iteration : 14600 | Loss : 0.210135 | Accuracy : 93.980000
Iteration : 14650 | Loss : 0.209827 | Accuracy : 93.991667
Iteration : 14700 | Loss : 0.209520 | Accuracy : 94.001667
Iteration : 14750 | Loss : 0.209214 | Accuracy : 94.006667
Iteration : 14800 | Loss : 0.208910 | Accuracy : 94.025000
Iteration : 14850 | Loss : 0.208607 | Accuracy : 94.031667
Iteration : 14900 | Loss : 0.208305 | Accuracy : 94.041667
Iteration : 14950 | Loss : 0.208004 | Accuracy : 94.050000
Iteration : 15000 | Loss : 0.207705 | Accuracy : 94.051667
Iteration : 15050 | Loss : 0.207407 | Accuracy : 94.060000
Iteration : 15100 | Loss : 0.207110 | Accuracy : 94.060000
Iteration : 15150 | Loss : 0.206815 | Accuracy : 94.063333
Iteration : 15200 | Loss : 0.206520 | Accuracy : 94.076667
Iteration : 15250 | Loss : 0.206226 | Accuracy : 94.081667
Iteration : 15300 | Loss : 0.205934 | Accuracy : 94.093333
Iteration : 15350 | Loss : 0.205643 | Accuracy : 94.098333
Iteration : 15400 | Loss : 0.205353 | Accuracy : 94.110000
Iteration : 15450 | Loss : 0.205064 | Accuracy : 94.121667
Iteration : 15500 | Loss : 0.204776 | Accuracy : 94.133333
Iteration : 15550 | Loss : 0.204490 | Accuracy : 94.136667
Iteration : 15600 | Loss : 0.204204 | Accuracy : 94.145000
Iteration : 15650 | Loss : 0.203919 | Accuracy : 94.150000
Iteration : 15700 | Loss : 0.203636 | Accuracy : 94.153333
Iteration : 15750 | Loss : 0.203354 | Accuracy : 94.158333
Iteration : 15800 | Loss : 0.203073 | Accuracy : 94.175000
Iteration : 15850 | Loss : 0.202794 | Accuracy : 94.178333
Iteration : 15900 | Loss : 0.202515 | Accuracy : 94.185000
Iteration : 15950 | Loss : 0.202237 | Accuracy : 94.198333
Iteration : 16000 | Loss : 0.201961 | Accuracy : 94.211667
Iteration : 16050 | Loss : 0.201685 | Accuracy : 94.216667
Iteration : 16100 | Loss : 0.201411 | Accuracy : 94.225000
Iteration : 16150 | Loss : 0.201137 | Accuracy : 94.233333
Iteration : 16200 | Loss : 0.200865 | Accuracy : 94.246667
Iteration : 16250 | Loss : 0.200593 | Accuracy : 94.250000
Iteration : 16300 | Loss : 0.200323 | Accuracy : 94.261667
Iteration : 16350 | Loss : 0.200053 | Accuracy : 94.273333
Iteration : 16400 | Loss : 0.199784 | Accuracy : 94.290000
Iteration : 16450 | Loss : 0.199516 | Accuracy : 94.291667
Iteration : 16500 | Loss : 0.199249 | Accuracy : 94.303333
Iteration : 16550 | Loss : 0.198983 | Accuracy : 94.315000
Iteration : 16600 | Loss : 0.198718 | Accuracy : 94.325000
Iteration : 16650 | Loss : 0.198453 | Accuracy : 94.336667
Iteration : 16700 | Loss : 0.198190 | Accuracy : 94.351667
Iteration : 16750 | Loss : 0.197928 | Accuracy : 94.361667
Iteration : 16800 | Loss : 0.197667 | Accuracy : 94.373333
Iteration : 16850 | Loss : 0.197408 | Accuracy : 94.375000
Iteration : 16900 | Loss : 0.197149 | Accuracy : 94.385000
Iteration : 16950 | Loss : 0.196891 | Accuracy : 94.388333
Iteration : 17000 | Loss : 0.196634 | Accuracy : 94.401667
Iteration : 17050 | Loss : 0.196377 | Accuracy : 94.415000
Iteration : 17100 | Loss : 0.196122 | Accuracy : 94.416667
